run_name,target_x,target_y,target_z,target_yaw,time_s,phase,x,y,z,yaw,pos_error_norm,yaw_error_abs,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.059,settling,2.200046305892247,2.2000273217832835,2.99829570062557,-0.0024439537426856656,0.2828999091503661,0.0024439537426856656,-0.21528153543201203,-0.21695247386358316,0.004117020428286309,0.0029327444912227987
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.079,settling,2.219047142039719,2.2189042675223045,2.9976081464080786,-0.002419234006217284,0.3096876648154566,0.002419234006217284,-0.22657818062810434,-0.2271974808148802,0.0054658278856596154,0.002903080807460741
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.099,settling,2.2338069842881096,2.2335333431577817,2.997056963481341,-0.0023913186591322383,0.3304726762264934,0.0023913186591322383,-0.23359622503527588,-0.2340845905556909,0.006283164095699863,0.002869582390958686
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.119,settling,2.2443862391596463,2.24397868409537,2.99665222409665,-0.002297840766873037,0.3453424963525387,0.002297840766873037,-0.2371497034128519,-0.23704264553330154,0.006813885601846811,0.0027574089202476444
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.139,settling,2.250884660692427,2.250344074340302,2.9961641069637213,-0.0024448770843897736,0.35444320081423863,0.0024448770843897736,-0.23607457303641866,-0.23753288282061502,0.007843921388654213,0.002933852501267728
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.159,settling,2.2534208942756258,2.2527401983916375,2.995810616149458,-0.001888681818343382,0.3579347824332658,0.001888681818343382,-0.23494668885044953,-0.23124467873448581,0.008297353880299074,0.0022664181820120583
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.179,settling,2.252161220499325,2.25136977722142,2.99513104184397,-0.0014658273503067264,0.3560839125509334,0.0014658273503067264,-0.22776948017204057,-0.22469104482810534,0.01004640987951249,0.0017589928203680717
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.199,settling,2.247276530672004,2.2463848676560674,2.9944160801662307,-0.0015636034960508824,0.34911655044095274,0.0015636034960508824,-0.21613595505987862,-0.21651442277359675,0.011425029888416876,0.0018763241952610588
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.219,settling,2.238969728099216,2.2379937381015456,2.9934636268503394,-0.0006588200723005564,0.3373281406839813,0.0006588200723005564,-0.20706021156663193,-0.2002187205583955,0.013547115793307755,0.0007905840867606678
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.239,settling,2.2274200836836675,2.2264476225436844,2.9923195189661356,-0.0006326279582023417,0.32102555974140884,0.0006326279582023417,-0.18877815127733835,-0.1879644518042549,0.015955773663090388,0.00075915354984281
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.2590000000000001,settling,2.212895824254355,2.211957659255677,2.991072050893764,-1.8654308344873338e-05,0.30055014486326653,1.8654308344873338e-05,-0.17323034567216986,-0.16833597267730552,0.018423619751519498,2.2385170013848004e-05
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.2790000000000001,settling,2.1956251347840836,2.1947825907029794,2.9901776967411227,-0.00036256985284728826,0.2762352776919788,0.00036256985284728826,-0.15021259920131508,-0.151984580037905,0.019552081470920336,0.00043508382341674593
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.299,settling,2.1758898121358103,2.17518744372175,2.9898557492381355,-0.00014808611353026838,0.24845678150223963,0.00014808611353026838,-0.13051067650083453,-0.128710193644847,0.01929036216697765,0.00017770333623632204
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.319,settling,2.1540001470584165,2.1534666433295087,2.9899944890884056,-0.00020761234285088183,0.21764228945093037,0.00020761234285088183,-0.10653486270007848,-0.106737374732539,0.018342107454690833,0.0002491348114210582
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.339,settling,2.1302718517836343,2.1299351211379403,2.990444046414049,-9.889826161866472e-05,0.18424225172637584,9.889826161866472e-05,-0.08282902846577762,-0.0821328664293702,0.01704240195988754,0.00011867791394239766
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.359,settling,2.105030469414188,2.1049100285609983,2.9910849961560926,-7.25533433828913e-05,0.14871782304609985,7.25533433828913e-05,-0.05741754478932522,-0.05747279536047964,0.015566992513539216,8.706401205946956e-05
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.379,settling,2.0786034192521057,2.078713328753162,2.9918294749236276,-5.5023652178568996e-06,0.1115394240685745,5.5023652178568996e-06,-0.0318171002889739,-0.0318391771094899,0.014031435340291873,6.60283826142828e-06
rl_neural_demo_target,2.0,2.0,3.0,0.0,1.399,settling,2.0513192969575003,2.051667189676002,2.992614480477592,2.2922180242692945e-05,0.07319641130440717,2.2922180242692945e-05,-0.005678399806384585,-0.006173178170470549,0.0125152448635977,-2.7506616291231532e-05
